,期数,红球号码_1,红球号码_2,红球号码_3,红球号码_4,红球号码_5,红球号码_6,蓝球,奖池奖金(元),一等奖_注数,一等奖_奖金(元),二等奖_注数,二等奖_奖金(元),总投注额(元),开奖日期
0,2022053,10,14,18,23,27,33,15,0元,4,"10,000,000",81,"366,853","356,510,652",2022-05-12
1,2022052,07,24,27,29,31,32,15,0元,4,"10,000,000",61,"467,706","359,187,786",2022-05-10
2,2022051,02,05,11,17,21,33,01,0元,5,"9,343,551",114,"238,133","389,679,034",2022-05-08
3,2022050,03,05,08,14,27,33,08,0元,16,"6,080,345",141,"153,240","363,371,278",2022-05-05
4,2022049,02,04,07,18,25,26,10,0元,0,0,127,"175,848","337,463,590",2022-05-03
5,2022048,05,07,17,20,26,31,14,0元,4,"10,000,000",180,"165,454","357,972,850",2022-05-01
6,2022047,03,07,08,14,27,30,09,0元,21,"5,625,122",128,"128,199","360,230,056",2022-04-28
7,2022046,02,11,24,25,27,30,14,0元,9,"7,489,274",132,"212,154","358,743,356",2022-04-26
8,2022045,03,12,17,18,19,28,04,0元,7,"7,472,273",182,"118,859","389,120,778",2022-04-24
9,2022044,01,07,08,21,23,29,06,0元,11,"6,476,085",123,"165,009","362,459,788",2022-04-21
10,2022043,02,17,20,23,25,27,08,0元,9,"6,718,875",54,"358,098","350,215,018",2022-04-19
11,2022042,05,10,11,21,22,30,13,0元,10,"7,059,021",175,"147,072","376,726,628",2022-04-17
12,2022041,05,07,21,22,24,29,14,0元,4,"10,000,000",57,"504,454","348,280,000",2022-04-14
13,2022040,03,12,14,16,31,33,12,0元,15,"5,830,283",119,"130,821","343,211,044",2022-04-12
14,2022039,02,06,07,10,15,20,05,0元,5,"9,112,790",177,"145,225","375,104,494",2022-04-10
15,2022038,09,12,13,16,24,32,04,0元,5,"8,932,134",67,"366,803","348,860,576",2022-04-07
16,2022037,01,10,13,20,22,32,14,0元,3,"10,000,000",74,"372,366","332,623,306",2022-04-05
17,2022036,02,03,14,16,26,31,02,0元,7,"8,039,081",110,"241,745","362,126,634",2022-04-03
18,2022035,08,12,13,19,23,25,15,0元,8,"7,126,487",169,"125,827","353,577,746",2022-03-31
19,2022034,14,17,26,31,32,33,10,0元,9,"7,033,420",49,"466,856","361,289,854",2022-03-29
20,2022033,05,12,19,22,25,26,05,0元,11,"6,853,773",192,"132,757","392,018,786",2022-03-27
21,2022032,04,10,11,14,23,32,07,0元,7,"8,228,322",54,"523,107","365,937,174",2022-03-24
